0,CombatZoneResize,133,251,508,391,TLResume,,,,,,
0,HeartTeleport,320,376,,,,,,,,,
0,HeartMode,1,,,,,,,,,,
0.2,BoneVRepeat,128,257,95,0,180,8,120,,,,
0,BoneVRepeat,128,366,20,0,180,8,120,,,,
0,BoneVRepeat,503,257,95,2,180,8,120,,,,
0,BoneVRepeat,503,366,20,2,180,8,120,,,,
0,yxk,320,416,1000,60,,,,,,,
1,bone,0,0,356,80,45,0,200,150,2,,
0,bone,0,640,356,80,45,180,200,150,2,,
1,bone,0,0,356,80,45,0,200,150,2,,
0,bone,0,640,356,80,45,180,200,150,2,,
1,bone,0,0,356,80,45,0,200,150,2,,
0,bone,0,640,356,80,45,180,200,150,2,,
1,bone,0,0,356,80,45,0,200,150,2,,
0,bone,0,640,356,80,45,180,200,150,2,,
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666,1,1,120
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666,2,2,500


2.4,EndAttack,,,,,,,,,,,
